Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude
19436 Helen,15009191,DMC Consultants,"$15,792.00 ",11/16/15,No,3,42.437792,-83.031634
19150 Cliff,15006385,DMC Consultants,"$21,800.00 ",9/16/15,No,3,42.43468,-83.028206
1144 Glynn Ct,6002709,DMC Consultants,"$23,520.00 ",11/17/15,No,5,42.385178,-83.095727
16551 San Juan,16026010,Adamo,"$14,634.00 ",8/7/15,No,2,42.413041,-83.146277
5299 Tarnow,18012566,Able Demolition,"$5,555.00 ",5/29/14,No,6,42.334583,-83.137312
5306 Tarnow,18012386,Able Demolition,"$8,585.00 ",5/30/14,No,6,42.334851,-83.136886
5147 Springwells,20005392,Brown Environmental Construction,"$6,800.00 ",4/23/14,No,6,42.332983,-83.141598
5409 Casper,20006938,Blue Star,"$9,900.00 ",10/30/14,No,6,42.333714,-83.140881
8839 Dennison,20009470,Futurenet Group,"$9,318.00 ",6/13/14,No,6,42.334048,-83.153636
5666 Cabot,20007865,Brown Environmental Construction,"$9,184.00 ",6/3/14,No,6,42.332431,-83.151258
5622 Trenton,20010442,Brown Environmental Construction,"$13,000.00 ",4/23/14,No,6,42.33262,-83.149086
5799 Renville,20010091,Able Demolition,"$5,959.00 ",6/9/14,No,6,42.334873,-83.149101
15118 Mendota,16042877,Futurenet Group,"$6,612.00 ",3/11/14,No,2,42.401847,-83.164731
13480 Mitchell,9010835,Futurenet Group,"$5,964.00 ",6/11/14,No,3,42.414522,-83.067867
19641 Gable,13012546,Timesavers Contracting,"$13,307.00 ",9/30/15,No,3,42.439044,-83.043209
1930 Webb,8003434,Able Demolition,"$5,151.00 ",6/4/14,No,5,42.386162,-83.107014
14291 Spring Garden,21017291-2,Adamo,"$22,661.79 ",4/24/14,Yes,4,42.428193,-82.975369
3731 Scovel Pl,12009872.002L,DMC Consultants,"$7,392.00 ",9/30/14,No,5,42.35373,-83.10718
6457 Gladys,18003009,Farrow Group,"$15,892.50 ",8/28/15,No,6,42.338922,-83.129043
6436 Hanson,18002915,Farrow Group,"$13,215.00 ",7/29/15,No,6,42.337922,-83.127943
6430 Hanson,18002916,Farrow Group,"$13,215.00 ",7/29/15,No,6,42.337961,-83.127845
6351 Gladys,18002997,Farrow Group,"$14,186.25 ",12/2/15,No,6,42.339452,-83.12771
5432 Proctor,18012649,Farrow Group,"$12,900.00 ",9/18/15,No,6,42.33516,-83.138207
5453 Chopin,18012287,Farrow Group,"$14,916.00 ",11/30/15,No,6,42.335909,-83.137145
5238 Proctor,18012631,Farrow Group,"$14,475.00 ",7/31/15,No,6,42.333711,-83.137158
5416 Chopin,18012120,Farrow Group,"$13,320.00 ",11/30/15,No,6,42.335643,-83.136293
5443 Daniels,18010864,Farrow Group,"$13,897.50 ",10/8/15,No,6,42.337751,-83.131322
5239 Daniels,18010880,Farrow Group,"$14,527.50 ",10/8/15,No,6,42.336441,-83.130312
5209 Daniels,18010885-6,Rickman Enterprise Group,"$28,370.00 ",10/1/15,No,6,42.336018,-83.129996
6503 Gladys,18003010,Farrow Group,"$16,060.50 ",8/28/15,No,6,42.338814,-83.129305
6569 Hanson,18002893,Farrow Group,"$22,071.75 ",7/31/15,No,6,42.336841,-83.12926
6509 Devereaux,18002947,Farrow Group,"$13,845.00 ",8/28/15,No,6,42.338005,-83.128848
332 W Nevada,1005390,Homrich,"$18,500.00 ",6/4/15,No,2,42.424042,-83.108261
1137 Solvay,18009446,Farrow Group,"$14,601.00 ",10/7/15,No,6,42.304713,-83.118014
7301 Senator,18001167,Farrow Group,"$13,320.00 ",10/7/15,No,6,42.311669,-83.121951
7268 Cahalan,18000983,Farrow Group,"$22,500.00 ",7/29/15,No,6,42.310183,-83.120189
7282 Lane,18000929,Farrow Group,"$22,500.00 ",10/14/15,No,6,42.309444,-83.119905
2559 Carson,20007168,Farrow Group,"$13,451.25 ",11/30/15,No,6,42.313848,-83.129659
5109 St Lawrence,20009172-9,Rickman Enterprise Group,"$19,400.00 ",7/22/15,No,6,42.331988,-83.144335
5299 Elmer,20008884,Rickman Enterprise Group,"$22,260.00 ",7/25/15,No,6,42.333313,-83.144008
5322 Elmer,20008786,Rickman Enterprise Group,"$22,450.00 ",7/25/15,No,6,42.333727,-83.143755
5163 Springwells,20005389,Farrow Group,"$13,215.00 ",10/3/15,No,6,42.333202,-83.141754
5444 Springwells,20005325,Farrow Group,"$13,687.50 ",10/5/15,No,6,42.333986,-83.141627
5141 Springwells,20005393,Farrow Group,"$13,215.00 ",10/3/15,No,6,42.332911,-83.141545
5424 Springwells,20005321,Farrow Group,"$13,425.00 ",10/5/15,No,6,42.333695,-83.141418
5474 Casper,20006850,Farrow Group,"$21,195.00 ",10/8/15,No,6,42.334728,-83.140881
5461 Central,20004824,Farrow Group,"$17,940.00 ",7/30/15,No,6,42.334761,-83.140436
